Seed 1: 
(*(+(x1)(0.34059))(+(-(*(0.00085)(*(+(x1)(0.00085))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(sqrt (x1))(x1))(sqrt (0.00085))))) | Numero de nos: 29 | Erro = 434129053155328.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(*(0.75573)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(sin (x1))))) | Numero de nos: 30 | Erro = 225159905280.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(-(x1)(sqrt (sin (*(0.35115)(cos (0.86151))))))(*(-(/(-(0.00085)(0.00085))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.40468)))(x1)))) | Numero de nos: 30 | Erro = 82982660472832.0000000000000000000000000  
(*(/(x1)(x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.41322)(0.00085))(x1))(x1))(0.00085)))(*(*(x1)(+(x1)(x1)))(x1)))) | Numero de nos: 29 | Erro = 437304074174464.0000000000000000000000000  
(*(x1)(/(*(cos (+(*(0.63100)(sin (sin (-(cos (sqrt (x1)))(x1)))))(0.50719)))(-(*(x1)(+(+(sin (+(0.98337)(x1)))(x1))(0.08069)))(0.85247)))(x1))) | Numero de nos: 29 | Erro = 433812198653952.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(0.88021))(x1))(0.00085)))(*(*(0.00085)(+(0.00085)(x1)))(x1)))) | Numero de nos: 29 | Erro = 161864608.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(0.81194))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(-(/(-(0.00085)(x1))(x1))(0.00085)))) | Numero de nos: 29 | Erro = 434220623200256.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(*(*(0.00085)(+(x1)(0.00085)))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 124717104.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(sin (x1))))) | Numero de nos: 30 | Erro = 224719650816.0000000000000000000000000  
(*(/(x1)(x1))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 434177103101952.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(x1)(*(-(x1)(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 19 | Erro = 83358562385920.0000000000000000000000000  
(*(0.13663)(0.97345)) | Numero de nos: 3 | Erro = 434176599785472.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(sin (x1))))) | Numero de nos: 30 | Erro = 224719650816.0000000000000000000000000  
(*(/(x1)(0.00085))(+(-(*(0.00085)(*(*(x1)(x1))(x1)))(*(-(/(-(0.00085)(x1))(x1))(x1))(0.00085)))(*(*(0.00085)(+(x1)(0.00085)))(x1)))) | Numero de nos: 29 | Erro = 47.1892356872558590000000000  
(*(/(x1)(0.00085))(x1)) | Numero de nos: 5 | Erro = 82750765793280.0000000000000000000000000  
