/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 7: 
(*(-(*(x1)(0.16410))(*(x1)(x1)))(/(+(x1)(0.92383))(+(x1)(0.09107)))) | Numero de nos: 15 | Erro: 434623142166528.0000000000000000000000000 |
(-(*(*(x1)(0.18220))(-(0.40867)(x1)))(+(-(x1)(0.76452))(+(x1)(0.00638)))) | Numero de nos: 15 | Erro: 434257130422272.0000000000000000000000000 |
(+(/(/(0.22828)(x1))(/(0.82180)(x1)))(-(+(0.58888)(0.22340))(/(0.67760)(0.54479)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(*(*(x1)(x1))(-(x1)(x1)))(-(*(0.29679)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(/(-(0.81503)(x1))(*(0.24528)(0.34574)))(/(/(0.62322)(x1))(/(0.25358)(0.73754)))) | Numero de nos: 15 | Erro: 434169754681344.0000000000000000000000000 |
(-(+(*(0.51564)(x1))(-(x1)(0.54527)))(/(/(0.31529)(x1))(-(0.97919)(0.40739)))) | Numero de nos: 15 | Erro: 434177304428544.0000000000000000000000000 |
(*(-(-(x1)(x1))(/(0.92044)(x1)))(-(*(x1)(x1))(/(x1)(0.39998)))) | Numero de nos: 15 | Erro: 434175693815808.0000000000000000000000000 |
(/(+(+(x1)(0.63927))(-(0.07968)(0.83273)))(*(/(0.73266)(0.90750))(/(x1)(0.40645)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |

MELHOR: (*(*(+(-(x1)(/(*(-(x1)(0.05936))(-(*(x1)(/(-(x1)(/(0.44954)(x1)))(/(*(x1)(x1))(0.28217))))(x1)))(0.79171)))(0.87915))(x1))(x1)) | Numero de nos: 29 | Erro: 30320636198912.0000000000000000000000000 |
MELHOR: (*(*(+(-(x1)(/(*(-(x1)(0.05936))(-(*(x1)(/(-(0.83737)(/(0.44954)(x1)))(/(*(x1)(x1))(0.28217))))(x1)))(0.79171)))(0.87915))(x1))(x1)) | Numero de nos: 29 | Erro: 30096148660224.0000000000000000000000000 |
MELHOR: (*(x1)(*(*(x1)(x1))(x1))) | Numero de nos: 7 | Erro: 223276744704.0000000000000000000000000 |
MELHOR: (*(x1)(*(*(x1)(x1))(x1))) | Numero de nos: 7 | Erro: 223276744704.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(0.87533))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 17 | Erro: 49102610432.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(x1))(x1))(+(0.28220)(0.60649)))(x1)))(-(x1)(0.82461)))(x1)) | Numero de nos: 19 | Erro: 42214072320.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(0.19874))(x1))(0.87533))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 4642063872.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(0.19874))(x1))(0.87533))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 4642063872.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(0.19874))(x1))(0.87533))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 4642063872.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(+(x1)(0.19874))(x1))(0.87533))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 4642063872.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(+(0.28220)(0.60649))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 2852407808.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(/(x1)(x1))(0.87533))(x1)))(-(x1)(/(*(x1)(0.03479))(/(+(/(x1)(x1))(x1))(0.99853)))))(x1)) | Numero de nos: 25 | Erro: 2759216640.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(x1))(x1)))(x1))(x1)) | Numero de nos: 11 | Erro: 125083288.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(0.60890)(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 15 | Erro: 125064464.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(/(0.42500)(*(-(/(+(-(+(0.61043)(0.06885))(0.32759))(0.65828))(x1))(0.79284))(0.72936)))(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 29 | Erro: 125032720.0000000000000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(/(x1)(/(-(0.82186)(x1))(x1)))(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 21 | Erro: 59178.9570312500000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(/(x1)(/(-(0.82186)(x1))(x1)))(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 21 | Erro: 59178.9570312500000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(/(x1)(/(-(0.82186)(x1))(x1)))(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 21 | Erro: 59178.9570312500000000000000000 |
MELHOR: (*(*(*(x1)(+(/(x1)(+(/(/(x1)(/(-(0.19874)(x1))(x1)))(x1))(x1)))(x1)))(x1))(x1)) | Numero de nos: 21 | Erro: 3471.8544921875000000000000000 |
