/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
MELHOR: (*(-(-(0.88162)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(0.58864)(x1))(/(+(/(0.06879)(0.05487))(0.41234))(x1)))(x1))))) | Numero de nos: 29 | Erro: 680190848.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(0.98694)))(/(+(0.56850)(0.29768))(x1)))(x1))))) | Numero de nos: 29 | Erro: 398018592.0000000000000000000000000 |
MELHOR: (*(-(-(0.05487)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(*(x1)(0.74282))))(/(0.06879)(0.98694)))(x1))))) | Numero de nos: 29 | Erro: 58703276.0000000000000000000000000 |
MELHOR: (*(-(-(0.05487)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(*(x1)(0.74282))))(/(0.06879)(0.98694)))(x1))))) | Numero de nos: 29 | Erro: 58703276.0000000000000000000000000 |
MELHOR: (*(-(-(0.05487)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(*(x1)(0.74282))))(/(0.06879)(0.98694)))(x1))))) | Numero de nos: 29 | Erro: 58703276.0000000000000000000000000 |
MELHOR: (*(-(-(0.05487)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(-(0.05487)(x1))(+(+(/(x1)(*(x1)(*(x1)(0.74282))))(/(0.06879)(0.98694)))(x1))))) | Numero de nos: 29 | Erro: 58703276.0000000000000000000000000 |
